"ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
2023,146,"A foto mostra a construção de uma cisterna destinada ao armazenamento de água. Uma cisterna como essa, na forma de cilindro circular reto com 3 m² de área da base, foi abastecida por um curso-d’água com vazão constante. O seu proprietário registrou a altura do nível da água no interior da cisterna durante o abastecimento em diferentes momentos de um mesmo dia, conforme o quadro. Disponível em: www.paraibamix.com. Acesso em: 3 dez. 2012.","Qual foi a vazão, em metro cúbico por hora, do curso-d’água que abasteceu a cisterna?","0,3","0,5","0,9","1,8","2,7","C","enem-data/enem-2023/146-images/context_img_0.png,enem-data/enem-2023/146-images/context_img_1.png"
2023,147,"Num certo momento de um jogo digital, a tela apresenta a imagem representada na figura. O ponto Q1 representa a posição de um jogador que está com a bola, os pontos Q2, Q3, Q4 , Q5 e Q6 também indicam posições de jogadores da mesma equipe, e os pontos A e B indicam os dois pés da trave mais próxima deles. No momento da partida retratado, o jogador Q1 tem a posse da bola, que será passada para um dos outros jogadores das posições Qn, n ∈ {2, 3, 4, 5, 6}, cujo ângulo AQnB tenha a mesma medida do ângulo AQ1 B.","Qual é o jogador que receberá a bola?","enem-data/enem-2023/147-images/alt_img_0.png","enem-data/enem-2023/147-images/alt_img_1.png","enem-data/enem-2023/147-images/alt_img_2.png","enem-data/enem-2023/147-images/alt_img_3.png","enem-data/enem-2023/147-images/alt_img_4.png","B","enem-data/enem-2023/147-images/context_img_0.png"
2023,148,"O triângulo da figura é denominado triângulo mágico. Nos círculos, escrevem-se os números de 1 a 6, sem repetição, com um número em cada círculo. O objetivo é distribuir os números de forma que as somas dos números em cada lado do triângulo sejam iguais. Considere que os números colocados nos vértices do triângulo estejam em progressão aritmética de razão igual a 2.","Considere que os números colocados nos vértices do triângulo estejam em progressão aritmética de razão igual a 2. Nas condições propostas, quais as possíveis soluções para as somas dos números que formam os lados do triângulo?","Há somente uma solução possível, e as somas em cada lado do triângulo são iguais a 7.","Há somente uma solução possível, e as somas em cada lado do triângulo são iguais a 9.","Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 7 e outra em que as somas são iguais a 9.","Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 9 e outra em que as somas são iguais a 12.","Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 10 e outra em que as somas são iguais a 11.","E","enem-data/enem-2023/148-images/context_img_0.png"
2023,149,"No alojamento de uma universidade, há alguns quartos com o padrão superior ao dos demais. Um desses quartos ficou disponível, e muitos estudantes se candidataram para morar no local. Para escolher quem ficará com o quarto, um sorteio será realizado. Para esse sorteio, cartões individuais com os nomes de todos os estudantes inscritos serão depositados em uma urna, sendo que, para cada estudante de primeiro ano, será depositado um único cartão com seu nome; para cada estudante de segundo ano, dois cartões com seu nome; e, para cada estudante de terceiro ano, três cartões com seu nome. Foram inscritos 200 estudantes de primeiro ano, 150 de segundo ano e 100 de terceiro ano. Todos os cartões têm a mesma probabilidade de serem sorteados.","Qual a probabilidade de o vencedor do sorteio ser um estudante de terceiro ano?","1/2","1/3","1/8","2/9","3/8","E",""
2023,150,"A água utilizada pelos 75 moradores de um vilarejo provém de um reservatório de formato cilíndrico circular reto cujo raio da base mede 5 metros, sempre abastecido no primeiro dia de cada mês por caminhões-pipa. Cada morador desse vilarejo consome, em média, 200 litros de água por dia. No mês de junho de um determinado ano, o vilarejo festejou o dia do seu padroeiro e houve um gasto extra de água nos primeiros 20 dias. Passado esse período, as pessoas verificaram a quantidade de água presente no reservatório e constataram que o nível da coluna de água estava em 1,5 metro. Decidiram, então, fazer um racionamento de água durante os 10 dias seguintes. Considere 3 como aproximação para π.","Qual é a quantidade mínima de água, em litro, que cada morador, em média, deverá economizar por dia, de modo que o reservatório não fique sem água nos próximos 10 dias?","50","60","80","140","150","A",""
2023,151,"Em janeiro do ano passado, a direção de uma fábrica abriu uma creche para os filhos de seus funcionários, com 10 salas, cada uma com capacidade para atender 10 crianças a cada ano. As vagas são sorteadas entre os filhos dos funcionários inscritos, enquanto os não contemplados pelo sorteio formam uma lista de espera. No ano passado, a lista de espera teve 400 nomes e, neste ano, esse número cresceu 10%. A direção da fábrica realizou uma pesquisa e constatou que a lista de espera para o próximo ano terá a mesma quantidade de nomes da lista de espera deste ano. Decidiu, então, construir, ao longo desse ano, novas salas para a creche, também com capacidade de atendimento para 10 crianças cada, de modo que o número de nomes na lista de espera no próximo ano seja 25% menor que o deste ano.","O número mínimo de salas que deverão ser construídas é","10","11","12","30","33","B",""
2023,152,"Os números figurados pentagonais provavelmente foram introduzidos pelos pitagóricos por volta do século V a.C. As figuras ilustram como obter os seis primeiros deles, sendo os demais obtidos seguindo o mesmo padrão geométrico.","O oitavo número pentagonal é","59","83","86","89","92","E","enem-data/enem-2023/152-images/context_img_0.png"
2023,153,"A figura ilustra uma roda-gigante no exato instante em que a cadeira onde se encontra a pessoa P está no ponto mais alto dessa roda-gigante. Com o passar do tempo, à medida que a roda-gigante gira, com velocidade angular constante e no sentido horário, a altura da cadeira onde se encontra a pessoa P, em relação ao solo, vai se alterando.","O gráfico que melhor representa a variação dessa altura, em função do tempo, contado a partir do instante em que a cadeira da pessoa P se encontra na posição mais alta da roda-gigante, é","enem-data/enem-2023/153-images/alt_img_0.png","enem-data/enem-2023/153-images/alt_img_1.png","enem-data/enem-2023/153-images/alt_img_2.png","enem-data/enem-2023/153-images/alt_img_3.png","enem-data/enem-2023/153-images/alt_img_4.png","A","enem-data/enem-2023/153-images/context_img_0.png"
2023,154,"Um professor, para promover a aprendizagem dos estudantes em estatística, propôs uma atividade. O objetivo era verificar o percentual de estudantes com massa corporal abaixo da média e altura acima da média de um grupo de estudantes. Para isso, usando uma balança e uma fita métrica, avaliou uma amostra de dez estudantes, anotando as medidas observadas. O gráfico apresenta a massa corporal, em quilograma, e a altura, em metro, obtidas na atividade. Após a coleta dos dados, os estudantes calcularam a média dos valores obtidos, referentes à massa corporal e à altura, obtendo, respectivamente, 80 kg e 1,65 m.","Qual é o percentual de estudantes dessa amostra com massa corporal abaixo da média e altura acima da média?","10","20","30","50","70","B","enem-data/enem-2023/154-images/context_img_0.png"
2023,155,"Um pescador tem um custo fixo diário de R$ 900,00 com combustível, iscas, manutenção de seu barco e outras pequenas despesas. Ele vende cada quilograma de peixe por R$ 5,00. Sua meta é obter um lucro mínimo de R$ 800,00 por dia. Sozinho, ele consegue, ao final de um dia de trabalho, pescar 180 kg de peixe, o que é suficiente apenas para cobrir o custo fixo diário. Portanto, precisa contratar ajudantes, pagando para cada um R$ 250,00 por dia de trabalho. Além desse valor, 4% da receita obtida pela venda de peixe é repartida igualmente entre os ajudantes. Considerando o tamanho de seu barco, ele pode contratar até 5 ajudantes. Ele sabe que com um ajudante a pesca diária é de 300 kg e que, a partir do segundo ajudante contratado, aumenta-se em 100 kg a quantidade de peixe pescada por ajudante em um dia de trabalho.","A quantidade mínima de ajudantes que esse pescador precisa contratar para conseguir o lucro diário pretendido é","1","2","3","4","5","D",""
2023,156,"Um agricultor é informado sobre um método de proteção para sua lavoura que consiste em inserir larvas específicas, de rápida reprodução. A reprodução dessas larvas faz com que sua população multiplique-se por 10 a cada 3 dias e, para evitar eventuais desequilíbrios, é possível cessar essa reprodução aplicando-se um produto X. O agricultor decide iniciar esse método com 100 larvas e dispõe de 5 litros do produto X, cuja aplicação recomendada é de exatamente 1 litro para cada população de 200 000 larvas. A quantidade total do produto X de que ele dispõe deverá ser aplicada de uma única vez.","Quantos dias após iniciado esse método o agricultor deverá aplicar o produto X?","2","4","6","12","18","D",""
2023,157,"Ao realizar o cadastro em um aplicativo de investimentos, foi solicitado ao usuário que criasse uma senha, sendo permitido o uso somente dos seguintes caracteres: • algarismos de 0 a 9; • 26 letras minúsculas do alfabeto; • 26 letras maiúsculas do alfabeto; • 6 caracteres especiais !, @, #, $, *, &. Três tipos de estruturas para senha foram apresentadas ao usuário: • tipo I: formada por quaisquer quatro caracteres distintos, escolhidos dentre os permitidos; • tipo II: formada por cinco caracteres distintos, iniciando por três letras, seguidas por um algarismo e, ao final, um caractere especial; • tipo III: formada por seis caracteres distintos, iniciando por duas letras, seguidas por dois algarismos e, ao final, dois caracteres especiais. Considere  as probabilidades de se descobrirem ao acaso, na primeira tentativa, as senhas dos tipos I, II e III, respectivamente.","Nessas condições, o tipo de senha que apresenta a menor probabilidade de ser descoberta ao acaso, na primeira tentativa, é o","tipo I, pois p1 < p2 < p3.","tipo I, pois tem menor quantidade de caracteres.","tipo II, pois tem maior quantidade de letras.","tipo III, pois p3 < p2 < p1","tipo III, pois tem maior quantidade de caracteres.","A","enem-data/enem-2023/157-images/context_img_0.png"
2023,158,"Em um colégio público, a admissão no primeiro ano se dá por sorteio. Neste ano há 55 candidatos, cujas inscrições são numeradas de 01 a 55. O sorteio de cada número de inscrição será realizado em etapas, utilizando-se duas urnas. Da primeira urna será sorteada uma bola, dentre bolas numeradas de 0 a 9, que representará o algarismo das unidades do número de inscrição a ser sorteado e, em seguida, da segunda urna, será sorteada uma bola para representar o algarismo das dezenas desse número. Depois do primeiro sorteio, e antes de se sortear o algarismo das dezenas, as bolas que estarão presentes na segunda urna serão apenas aquelas cujos números formam, com o algarismo já sorteado, um número de 01 a 55.","As probabilidades de os candidatos de inscrição número 50 e 02 serem sorteados são, respectivamente,","enem-data/enem-2023/158-images/alt_img_0.png","enem-data/enem-2023/158-images/alt_img_1.png","enem-data/enem-2023/158-images/alt_img_2.png","enem-data/enem-2023/158-images/alt_img_3.png","enem-data/enem-2023/158-images/alt_img_4.png","A",""
2023,159,"O esquema mostra como a intensidade luminosa decresce com o aumento da profundidade em um rio, sendo a intensidade na sua superfície. Considere que a intensidade luminosa diminui, a cada metro acrescido na profundidade, segundo o mesmo padrão do esquema.","A intensidade luminosa correspondente à profundidade de 6 m é igual a","enem-data/enem-2023/159-images/alt_img_0.png","enem-data/enem-2023/159-images/alt_img_1.png","enem-data/enem-2023/159-images/alt_img_2.png","enem-data/enem-2023/159-images/alt_img_3.png","enem-data/enem-2023/159-images/alt_img_4.png","D","enem-data/enem-2023/159-images/context_img_0.png,enem-data/enem-2023/159-images/context_img_1.png"
2023,160,"Analisando as vendas de uma empresa, o gerente concluiu que o montante diário arrecadado, em milhar de real, poderia ser calculado pela expressão , em que os valores de x representam os dias do mês, variando de 1 a 30. Um dos fatores para avaliar o desempenho mensal da empresa é verificar qual é o menor montante diário arrecadado ao longo do mês e classificar o desempenho conforme as categorias apresentadas a seguir, em que as quantidades estão expressas em milhar de real.","No caso analisado, qual seria a classificação do desempenho da empresa?","Ótimo.","Bom.","Normal.","Ruim.","Péssimo.","D","enem-data/enem-2023/160-images/context_img_0.png,enem-data/enem-2023/160-images/context_img_1.png,enem-data/enem-2023/160-images/context_img_2.png"
2023,161,"Dirigir após ingerir bebidas alcoólicas é uma atitude extremamente perigosa, uma vez que, a partir da primeira dose, a pessoa já começa a ter perda de sensibilidade de movimentos e de reflexos. Apesar de a eliminação e absorção do álcool depender de cada pessoa e de como o organismo consegue metabolizar a substância, ao final da primeira hora após a ingestão, a concentração de álcool (C) no sangue corresponde a aproximadamente 90% da quantidade (q) de álcool ingerida, e a eliminação total dessa concentração pode demorar até 12 horas. Disponível em: http://g1.globo.com. Acesso em: 1 dez. 2018 (adaptado).","Nessas condições, ao final da primeira hora após a ingestão da quantidade q de álcool, a concentração C dessa substância no sangue é expressa algebricamente por","C = 0,9q","C = 0,1q","C = 1 − 0,1q","C = 1 − 0,9q","C = q − 10","A",""
2023,162,"Um investidor iniciante observou o gráfico que apresenta a evolução dos valores de duas criptomoedas A e B em relação ao tempo. Durante horas consecutivas, esses valores foram observados em nove instantes, representados por horas exatas.","Em quantos desses instantes a criptomoeda A estava mais valorizada do que a criptomoeda B?","3","4","6","7","9","B","enem-data/enem-2023/162-images/context_img_0.png"
2023,163,"A exposição a alguns níveis sonoros pode causar lesões auditivas. Por isso, em uma indústria, são adotadas medidas preventivas de acordo com a máquina que o funcionário opera e o nível N de intensidade do som, medido em decibel (dB), a que o operário é exposto, sendo , I a intensidade do som e . Disponível em: www.sofisica.com.br. Acesso em: 8 jul. 2015 (adaptado). Quando o som é considerado baixo, ou seja, N = 48 dB ou menos, deve ser utilizada a medida preventiva I. No caso de o som ser moderado, quando N está no intervalo (48 dB, 55 dB), deve ser utilizada a medida preventiva II. Quando o som é moderado alto, que equivale a N no intervalo (55 dB, 80 dB), a medida preventiva a ser usada é a III. Se N estiver no intervalo (80 dB, 115 dB), quando o som é considerado alto, deve ser utilizada a medida preventiva IV. E se o som é considerado muito alto, com N maior que 115 dB, deve-se utilizar a medida preventiva V. Uma nova máquina, com , foi adquirida e será classificada de acordo com o nível de ruído que produz. Considere 0,3 como aproximação para.","O funcionário que operará a nova máquina deverá adotar a medida preventiva","I.","II.","III.","IV.","V.","B","enem-data/enem-2023/163-images/context_img_0.png,enem-data/enem-2023/163-images/context_img_1.png,enem-data/enem-2023/163-images/context_img_2.png,enem-data/enem-2023/163-images/context_img_3.png"
2023,164,"Um artista plástico esculpe uma escultura a partir de um bloco de madeira de lei, em etapas. Inicialmente, esculpe um cone reto com 36 cm de altura e diâmetro da base medindo 18 cm. Em seguida, remove desse cone um cone menor, cujo diâmetro da base mede 6 cm, obtendo, assim, um tronco de cone, conforme ilustrado na figura. Em seguida, perfura esse tronco de cone, removendo um cilindro reto, de diâmetro 6 cm, cujo eixo de simetria é o mesmo do cone original. Dessa forma, ao final, a escultura tem a forma de um tronco de cone com uma perfuração cilíndrica de base a base. O tipo de madeira utilizada para produzir essa escultura tem massa igual a 0,6 g por centímetro cúbico de volume. Utilize 3 como aproximação para π.","Qual é a massa, em grama, dessa escultura?"," 1.198,8"," 1.296,0"," 1.360,8","4.665,6","4.860,0","B","enem-data/enem-2023/164-images/context_img_0.png"
2023,165,"Os 100 funcionários de uma empresa estão distribuídos em dois setores: Produção e Administração. Os funcionários de um mesmo setor recebem salários com valores iguais. O quadro apresenta a quantidade de funcionários por setor e seus respectivos salários.","A média dos salários dos 100 funcionários dessa empresa, em real, é"," 2.000,00.","2.500,00.","3.250,00.","4.500,00."," 9.000,00.","C","enem-data/enem-2023/165-images/context_img_0.png"
2023,166,"Visando atrair mais clientes, o gerente de uma loja anunciou uma promoção em que cada cliente que realizar uma compra pode ganhar um voucher para ser usado em sua próxima compra. Para ganhar seu voucher, o cliente precisa retirar, ao acaso, uma bolinha de dentro de cada uma das duas urnas A e B disponibilizadas pelo gerente, nas quais há apenas bolinhas pretas e brancas. Atualmente, a probabilidade de se escolher, ao acaso, uma bolinha preta na urna A é igual a 20% e a probabilidade de se escolher uma bolinha preta na urna B é 25%. Ganha o voucher o cliente que retirar duas bolinhas pretas, uma de cada urna. Com o passar dos dias, o gerente percebeu que, para a promoção ser viável aos negócios, era preciso alterar a probabilidade de acerto do cliente sem alterar a regra da promoção. Para isso, resolveu alterar a quantidade de bolinhas brancas na urna B de forma que a probabilidade de um cliente ganhar o voucher passasse a ser menor ou igual a 1%. Sabe-se que a urna B tem 4 bolinhas pretas e que, em ambas as urnas, todas as bolinhas têm a mesma probabilidade de serem retiradas.","Qual é o número mínimo de bolinhas brancas que o gerente deve adicionar à urna B?","20","60","64","68","80","C",""
2023,167,"Estudantes trabalhando com robótica criaram uma “torneira inteligente” que automatiza sua abertura e seu fechamento durante a limpeza das mãos. A tecnologia funciona da seguinte forma: ao se colocarem as mãos sob a torneira, ela libera água durante 3 segundos para que a pessoa possa molhá-las. Em seguida, interrompe o fornecimento de água por 5 segundos, enquanto a pessoa ensaboa suas mãos, e finaliza o ciclo liberando água para o enxágue por mais 3 segundos. Considere o tempo (t), em segundo, contado a partir do instante em que se inicia o ciclo. A vazão de água nessa torneira é constante.","Um esboço de gráfico que descreve o volume de água acumulado, em litro, liberado por essa torneira durante um ciclo de lavagem das mãos, em função do tempo (t), em segundo, é","enem-data/enem-2023/167-images/alt_img_0.png,enem-data/enem-2023/167-images/alt_img_1.png","enem-data/enem-2023/167-images/alt_img_2.png","enem-data/enem-2023/167-images/alt_img_3.png","enem-data/enem-2023/167-images/alt_img_4.png","","B",""
2023,168,"As características culturais variam de povo para povo. Há notícias de um povo que possuía formas de contar diferentes das nossas, como indicado no quadrinho a seguir.","Segundo o padrão de contagem indicado na figura, as representações dos numerais cinco e sete, nessa cultura, devem ser, respectivamente,","okosa urapum urapum urapum e okosa okosa urapum urapum urapum.","okosa okosa urapum e okosa okosa okosa okosa urapum.","okosa okosa urapum e okosa okosa okosa urapum.","okosa urapum urapum e okosa urapum okosa urapum urapum.","okosa okosa urapum e okosa okosa okosa okosa.","C","enem-data/enem-2023/168-images/context_img_0.png"
2023,169,"Um tipo de semente necessita de bastante água nos dois primeiros meses após o plantio. Um produtor pretende estabelecer o melhor momento para o plantio desse tipo de semente, nos meses de outubro a março. Após consultar a previsão do índice mensal de precipitação de chuva (ImPC) da região onde ocorrerá o plantio, para o período chuvoso de 2020-2021, ele obteve os seguintes dados: • outubro/2020: ImPC = 250 mm; • novembro/2020: ImPC = 150 mm; • dezembro/2020: ImPC = 200 mm; • janeiro/2021: ImPC = 450 mm; • fevereiro/2021: ImPC = 100 mm; • março/2021: ImPC = 200 mm. Com base nessas previsões, ele precisa escolher dois meses consecutivos em que a média mensal de precipitação seja a maior possível.","No início de qual desses meses o produtor deverá plantar esse tipo de semente?","Outubro.","Novembro.","Dezembro.","Janeiro.","Fevereiro.","C",""
2023,170,"Uma loja vende seus produtos de duas formas: à vista ou financiado em três parcelas mensais iguais. Para definir o valor dessas parcelas nas vendas financiadas, a loja aumenta em 20% o valor do produto à vista e divide esse novo valor por 3. A primeira parcela deve ser paga no ato da compra, e as duas últimas, em 30 e 60 dias após a compra. Um cliente da loja decidiu comprar, de forma financiada, um produto cujo valor à vista é R$ 1 500,00. Utilize 5,29 como aproximação para 28.","A taxa mensal de juros compostos praticada nesse financiamento é de","6,7%","10%","20%","21,5%","23,3%","D",""
2023,171,"Para concretar a laje de sua residência, uma pessoa contratou uma construtora. Tal empresa informa que o preço y do concreto bombeado é composto de duas partes: uma fixa, chamada de taxa de bombeamento, e uma variável, que depende do volume x de concreto utilizado. Sabe-se que a taxa de bombeamento custa R$ 500,00 e que o metro cúbico do concreto bombeado é de R$ 250,00.","A expressão que representa o preço y em função do volume x, em metro cúbico, é","y = 250x","y = 500x","y = 750x","y = 250x + 500","y = 500x + 250","D",""
2023,172,"Uma empresa de segurança domiciliar oferece o serviço de patrulha noturna, no qual vigilantes em motocicletas fazem o monitoramento periódico de residências. A empresa conta com uma base, de onde acompanha o trajeto realizado pelos vigilantes durante as patrulhas e orienta o deslocamento de equipes de reforço quando necessário. Numa patrulha rotineira, sem ocorrências, um vigilante conduziu sua motocicleta a uma velocidade constante durante todo o itinerário estabelecido, levando 30 minutos para conclusão. De acordo com os registros do GPS alocado na motocicleta, a distância da posição do vigilante à base, ao longo do tempo de realização do trajeto, é descrita pelo gráfico.","A vista superior da trajetória realizada pelo vigilante durante a patrulha registrada no gráfico é descrita pela representação","enem-data/enem-2023/172-images/alt_img_0.png","enem-data/enem-2023/172-images/alt_img_1.png","enem-data/enem-2023/172-images/alt_img_2.png","enem-data/enem-2023/172-images/alt_img_3.png","enem-data/enem-2023/172-images/alt_img_4.png","A","enem-data/enem-2023/172-images/context_img_0.png"
2023,173,"Um supermercado conta com cinco caixas disponíveis para pagamento. Foram instaladas telas que apresentam o tempo médio gasto por cada caixa para iniciar e finalizar o atendimento de cada cliente, e o número de pessoas presentes na fila de cada caixa em tempo real. Um cliente, na hora de passar sua compra, sabendo que cada um dos cinco caixas iniciará um novo atendimento naquele momento, pretende gastar o menor tempo possível de espera na fila. Ele observa que as telas apresentavam as informações a seguir. • Caixa I: atendimento 12 minutos, 5 pessoas na fila. • Caixa II: atendimento 6 minutos, 9 pessoas na fila. • Caixa III: atendimento 5 minutos, 6 pessoas na fila. • Caixa IV: atendimento 15 minutos, 2 pessoas na fila. • Caixa V: atendimento 9 minutos, 3 pessoas na fila.","Para alcançar seu objetivo, o cliente deverá escolher o caixa","I.","II.","III.","IV.","V.","E",""
2023,174,"As figuras pintadas no quadro da sala de estar de uma residência representam as silhuetas de parte das torres de um castelo e, ao fundo, a de uma lua cheia. A lua foi pintada na forma de um círculo, e o telhado da torre mais alta, na forma de triângulo equilátero, foi pintado sobrepondo parte da lua. O centro da lua coincide com um dos vértices do telhado da torre mais alta.","Nesse quadro, a parte da lua escondida atrás da torre mais alta do castelo pode ser representada por um","cone.","setor circular.","segmento circular.","triângulo isósceles.","arco de circunferência.","B",""
