"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"matematica",2016,146,"Um petroleiro possui reservatório em formato de um paralelepípedo retangular com as dimensões dadas por 60 m x 10 m de base e 10 m de altura. Com o objetivo de minimizar o impacto ambiental de um eventual vazamento, esse reservatório é subdividido em três compartimentos, A, B e C, de mesmo volume, por duas placas de aço retangulares com dimensões de 7 m de altura e 10 m de base, de modo que os compartimentos são interligados, conforme a figura. Assim, caso haja rompimento no casco do reservatório, apenas uma parte de sua carga vazará. Suponha que ocorra um desastre quando o petroleiro se encontra com sua carga máxima: ele sofre um acidente que ocasiona um furo no fundo do compartimento C. Para fins de cálculo, considere desprezíveis as espessuras das placas divisórias.","Suponha que ocorra um desastre quando o petroleiro se encontra com sua carga máxima: ele sofre um acidente que ocasiona um furo no fundo do compartimento C. Para fins de cálculo, considere desprezíveis as espessuras das placas divisórias.Após o fim do vazamento, o volume de petróleo derramado terá sido de","1,4 × 10³ m³","1,8 × 10³ m³","2,0 × 10³ m³","3,2 × 10³ m³","6,0 × 10³ m³","D","enem-data/enem-2016/146-images/context_img_0.png"
"matematica",2016,147,"Um adolescente vai a um parque de diversões tendo, prioritariamente, o desejo de ir a um brinquedo que se encontra na área IV, dentre as áreas I, II, III, IV e V existentes. O esquema ilustra o mapa do parque, com a localização da entrada, das cinco áreas com os brinquedos disponíveis e dos possíveis caminhos para se chegar a cada área. O adolescente não tem conhecimento do mapa do parque e decide ir caminhando da entrada até chegar à área IV. Suponha que relativamente a cada ramificação, as opções existentes de percurso pelos caminhos apresentem iguais probabilidades de escolha, que a caminhada foi feita escolhendo ao acaso os caminhos existentes e que, ao tomar um caminho que chegue a uma área distinta da IV, o adolescente necessariamente passa por ela ou retorna.","Nessas condições, a probabilidade de ele chegar à área IV sem passar por outras áreas e sem retornar é igual a","1/96","1/64","5/24","1/4","5/12","C","enem-data/enem-2016/147-images/context_img_0.png"
"matematica",2016,148,"Em uma cidade, o número de casos de dengue confirmados aumentou consideravelmente nos últimos dias. A prefeitura resolveu desenvolver uma ação contratando funcionários para ajudar no combate à doença, os quais orientarão os moradores a eliminarem criadouros do mosquito Aedes aegypti, transmissor da dengue. A tabela apresenta o número atual de casos confirmados, por região da cidade. A prefeitura optou pela seguinte distribuição dos funcionários a serem contratados: I. 10 funcionários para cada região da cidade cujo número de casos seja maior que a média dos casos confirmados. II. 7 funcionários para cada região da cidade cujo número de casos seja menor ou igual à média dos casos confirmados. ","Quantos funcionários a prefeitura deverá contratar para efetivar a ação?","59","65","68","71","80","D","enem-data/enem-2016/148-images/context_img_0.png"
"matematica",2016,149,"Cinco marcas de pão integral apresentam as seguintes concentrações de fibras (massa de fibra por massa de pão): • Marca A: 2 g de fibras a cada 50 g de pão; • Marca B: 5 g de fibras a cada 40 g de pão; • Marca C: 5 g de fibras a cada 100 g de pão; • Marca D: 6 g de fibras a cada 90 g de pão; • Marca E: 7 g de fibras a cada 70 g de pão. Recomenda-se a ingestão do pão que possui a maior concentração de fibras. Disponível em: www.blog.saude.gov.br. Acesso em: 25 fev. 2013.","A marca a ser escolhida é","A","B","C","D","E","B",""
"matematica",2016,150,"Ao iniciar suas atividades, um ascensorista registra tanto o número de pessoas que entram quanto o número de pessoas que saem do elevador em cada um dos andares do edifício onde ele trabalha. O quadro apresenta os registros do ascensorista durante a primeira subida do térreo, de onde partem ele e mais três pessoas, ao quinto andar do edifício.","Com base no quadro, qual é a moda do número de pessoas no elevador durante a subida do térreo ao quinto andar?","2","3","4","5","6","D","enem-data/enem-2016/150-images/context_img_0.png"
"matematica",2016,151,"O censo demográfico é um levantamento estatístico que permite a coleta de várias informações. A tabela apresenta os dados obtidos pelo censo demográfico brasileiro nos anos de 1940 e 2000, referentes à concentração da população total, na capital e no interior, nas cinco grandes regiões.","O valor mais próximo do percentual que descreve o aumento da população nas capitais da Região Nordeste é","125%","231%","331%","700%","800%","D","enem-data/enem-2016/151-images/context_img_0.png"
"matematica",2016,152,"Um túnel deve ser lacrado com uma tampa de concreto. A seção transversal do túnel e a tampa de concreto têm contornos de um arco de parábola e mesmas dimensões. Para determinar o custo da obra, um engenheiro deve calcular a área sob o arco parabólico em questão. Usando o eixo horizontal no nível do chão e o eixo de simetria da parábola como eixo vertical, obteve a seguinte equação para a parábola: y = 9 − x2 , sendo x e y medidos em metros. Sabe-se que a área sob uma parábola como esta é igual a 2/3 da área do retângulo cujas dimensões são, respectivamente, iguais à base e à altura da entrada do túnel.","Qual é a área da parte frontal da tampa de concreto, em metro quadrado?","18","20","36","45","54","C",""
"matematica",2016,153,"Para cadastrar-se em um site, uma pessoa precisa escolher uma senha composta por quatro caracteres, sendo dois algarismos e duas letras (maiúsculas ou minúsculas). As letras e os algarismos podem estar em qualquer posição. Essa pessoa sabe que o alfabeto é composto por vinte e seis letras e que uma letra maiúscula difere da minúscula em uma senha. Disponível em: www.infowester.com. Acesso em: 14 dez. 2012.","O número total de senhas possíveis para o cadastramento nesse site é dado por","enem-data/enem-2016/153-images/alt_img_0.png","enem-data/enem-2016/153-images/alt_img_1.png","enem-data/enem-2016/153-images/alt_img_2.png","enem-data/enem-2016/153-images/alt_img_3.png","enem-data/enem-2016/153-images/alt_img_4.png","E",""
"matematica",2016,154,"A distribuição de salários pagos em uma empresa pode ser analisada destacando-se a parcela do total da massa salarial que é paga aos 10% que recebem os maiores salários. Isso pode ser representado na forma de um gráfico formado por dois segmentos de reta, unidos em um ponto P, cuja abscissa tem valor igual a 90, como ilustrado na figura. No eixo horizontal do gráfico tem-se o percentual de funcionários, ordenados de forma crescente pelos valores de seus salários, e no eixo vertical tem-se o percentual do total da massa salarial de todos os funcionários. O Índice de Gini, que mede o grau de concentração de renda de um determinado grupo, pode ser calculado pela razão A/(A + B) em que A e B são as medidas das áreas indicadas no gráfico. A empresa tem como meta tornar seu Índice de Gini igual ao do país, que é 0,3. Para tanto, precisa ajustar os salários de modo a alterar o percentual que representa a parcela recebida pelos 10% dos funcionários de maior salário em relação ao total da massa salarial. Disponível em: www.ipea.gov.br. Acesso em: 4 maio 2016 (adaptado)","Para atingir a meta desejada, o percentual deve ser","40%","20%","60%","30%","70%","A","enem-data/enem-2016/154-images/context_img_0.png"
"matematica",2016,155,"O setor de recursos humanos de uma empresa pretende fazer contratações para adequar-se ao artigo 93 da Lei n° 8.213/91, que dispõe: Art. 93. A empresa com 100 (cem) ou mais empregados está obrigada a preencher de 2% (dois por cento) a 5% (cinco por cento) dos seus cargos com beneficiários reabilitados ou pessoas com deficiência, habilitadas, na seguinte proporção: I. até 200 empregados……………….. 2%; II. de 201 a 500 empregados…………… 3%; III. de 501 a 1 000 empregados………… 4%; IV. de 1 001 em diante………………. 5%.Disponível em: www.planalto.gov.br. Acesso em: 3 fev. 2015.Constatou-se que a empresa possui 1 200 funcionários, dos quais 10 são reabilitados ou com deficiência, habilitados.Para adequar-se à referida lei, a empresa contratará apenas empregados que atendem ao perfil indicado no artigo 93.","O número mínimo de empregados reabilitados ou com deficiência, habilitados, que deverá ser contratado pela empresa é","74","70","64","60","53","E",""
"matematica",2016,156,"Uma pessoa comercializa picolés. No segundo dia de certo evento ela comprou 4 caixas de picolés, pagando R$ 16,00 a caixa com 20 picolés para revendê-los no evento. No dia anterior, ela havia comprado a mesma quantidade de picolés, pagando a mesma quantia, e obtendo um lucro de R$ 40,00 (obtido exclusivamente pela diferença entre o valor de venda e o de compra dos picolés) com a venda de todos os picolés que possuía. Pesquisando o perfil do público que estará presente no evento, a pessoa avalia que será possível obter um lucro 20% maior do que o obtido com a venda no primeiro dia do evento.","Para atingir seu objetivo, e supondo que todos os picolés disponíveis foram vendidos no segundo dia, o valor de venda de cada picolé, no segundo dia, deve ser","R$ 0,96.","R$ 1,00","R$ 1,40","R$ 1,50.","R$ 1,56.","C",""
"matematica",2016,157,"O tênis é um esporte em que a estratégia de jogo a ser adotada depende, entre outros fatores, de o adversário ser canhoto ou destro. Um clube tem um grupo de 10 tenistas, sendo que 4 são canhotos e 6 são destros. O técnico do clube deseja realizar uma partida de exibição entre dois desses jogadores, porém, não poderão ser ambos canhotos.","Qual o número de possibilidades de escolha dos tenistas para a partida de exibição?","","","","","","A",""
"matematica",2016,158,"O ábaco é um antigo instrumento de cálculo que usa notação posicional de base dez para representar números naturais. Ele pode ser apresentado em vários modelos, um deles é formado por hastes apoiadas em uma base. Cada haste corresponde a uma posição no sistema decimal e nelas são colocadas argolas; a quantidade de argolas na haste representa o algarismo daquela posição. Em geral, colocam-se adesivos abaixo das hastes com os símbolos U, D, C, M, DM e CM que correspondem, respectivamente, a unidades, dezenas, centenas, unidades de milhar, dezenas de milhar e centenas de milhar, sempre começando com a unidade na haste da direita e as demais ordens do número no sistema decimal nas hastes subsequentes (da direita para esquerda), até a haste que se encontra mais à esquerda. Entretanto, no ábaco da figura, os adesivos não seguiram a disposição usual.","Nessa disposição, o número que está representado na figura é","46 171.","147 016","171 064.","460 171.","610 741.","D","enem-data/enem-2016/158-images/context_img_0.png"
"matematica",2016,159,"Um marceneiro está construindo um material didático que corresponde ao encaixe de peças de madeira com 10 cm de altura e formas geométricas variadas, num bloco de madeira em que cada peça se posicione na perfuração com seu formato correspondente, conforme ilustra a figura. O bloco de madeira já possui três perfurações prontas de bases distintas: uma quadrada (Q), de lado 4 cm, uma retangular (R), com base 3 cm e altura 4 cm, e uma em forma de um triângulo equilátero (T), de lado 6,8 cm. Falta realizar uma perfuração de base circular (C). O marceneiro não quer que as outras peças caibam na perfuração circular e nem que a peça de base circular caiba nas demais perfurações e, para isso, escolherá o diâmetro do círculo que atenda a tais condições. Procurou em suas ferramentas uma serra copo (broca com formato circular) para perfurar a base em madeira, encontrando cinco exemplares, com diferentes medidas de diâmetros, como segue: (I) 3,8 cm; (II) 4,7 cm; (III) 5,6 cm; (IV) 7,2 cm e (V) 9,4 cm. Considere 1,4 e 1,7 como aproximações para √2 e √3 , respectivamente.","Para que seja atingido o seu objetivo, qual dos exemplares de serra copo o marceneiro deverá escolher?","I","II","III","IV","V","B","enem-data/enem-2016/159-images/context_img_0.png"
"matematica",2016,160,"Em um exame, foi feito o monitoramento dos níveis de duas substâncias presentes (A e B) na corrente sanguínea de uma pessoa, durante um período de 24 h, conforme o resultado apresentado na figura. Um nutricionista, no intuito de prescrever uma dieta para essa pessoa, analisou os níveis dessas substâncias, determinando que, para uma dieta semanal eficaz, deverá ser estabelecido um parâmetro cujo valor será dado pelo número de vezes em que os níveis de A e de B forem iguais, porém, maiores que o nível mínimo da substância A durante o período de duração da dieta. Considere que o padrão apresentado no resultado do exame, no período analisado, se repita para os dias subsequentes.","O valor do parâmetro estabelecido pelo nutricionista, para uma dieta semanal, será igual a","28","21","2","7","14","E","enem-data/enem-2016/160-images/context_img_0.png"
"matematica",2016,161,"Um paciente necessita de reidratação endovenosa feita por meio de cinco frascos de soro durante 24 h. Cada frasco tem um volume de 800 mL de soro. Nas primeiras quatro horas, deverá receber 40% do total a ser aplicado. Cada mililitro de soro corresponde a 12 gotas.","O número de gotas por minuto que o paciente deverá receber após as quatro primeiras horas será","16","20","24","34","40","C",""
"matematica",2016,162,"É comum os artistas plásticos se apropriarem de entes matemáticos para produzirem, por exemplo, formas e imagens por meio de manipulações. Um artista plástico, em uma de suas obras, pretende retratar os diversos polígonos obtidos pelas intersecções de um plano com uma pirâmide regular de base quadrada.","Segundo a classificação dos polígonos, quais deles são possíveis de serem obtidos pelo artista plástico?","Quadrados, apenas.","Triângulos e quadrados, apenas.","Triângulos, quadrados e trapézios, apenas.","Triângulos, quadrados, trapézios e quadriláteros irregulares, apenas.","Triângulos, quadrados, trapézios, quadriláteros irregulares e pentágonos, apenas.","E",""
"matematica",2016,163,"Um reservatório é abastecido com água por uma torneira e um ralo faz a drenagem da água desse reservatório. Os gráficos representam as vazões Q, em litro por minuto, do volume de água que entra no reservatório pela torneira e do volume que sai pelo ralo, em função do tempo t, em minuto.","Em qual intervalo de tempo, em minuto, o reservatório tem uma vazão constante de enchimento?","De 0 a 10.","De 5 a 10.","De 5 a 15.","De 15 a 25.","De 0 a 25.","B","enem-data/enem-2016/163-images/context_img_0.png"
"matematica",2016,164,"O LIRAa, Levantamento Rápido do Índice de Infestação por Aedes aegypti, consiste num mapeamento da infestação do mosquito Aedes aegypti. O LIRAa é dado pelo percentual do número de imóveis com focos do mosquito, entre os escolhidos de uma região em avaliação.O serviço de vigilância sanitária de um município, no mês de outubro do ano corrente, analisou o LIRAa de cinco bairros que apresentaram o maior índice de infestação no ano anterior. Os dados obtidos para cada bairro foram: I. 14 imóveis com focos de mosquito em 400 imóveis no bairro; II. 6 imóveis com focos de mosquito em 500 imóveis no bairro; III. 13 imóveis com focos de mosquito em 520 imóveis no bairro; IV. 9 imóveis com focos de mosquito em 360 imóveis no bairro; V. 15 imóveis com focos de mosquito em 500 imóveis no bairro. Disponível em: http://bvsms.saude.gov.br. Acesso em: 28 out. 2015","As ações de controle iniciarão pelo bairro","I","II","III","IV","V","A",""
"matematica",2016,165,"Uma família resolveu comprar um imóvel num bairro cujas ruas estão representadas na figura. As ruas com nomes de letras são paralelas entre si e perpendiculares às ruas identificadas com números. Todos os quarteirões são quadrados, com as mesmas medidas, e todas as ruas têm a mesma largura, permitindo caminhar somente nas direções vertical e horizontal. Desconsidere a largura das ruas. A família pretende que esse imóvel tenha a mesma distância de percurso até o local de trabalho da mãe, localizado na rua 6 com a rua E, o consultório do pai, na rua 2 com a rua E, e a escola das crianças, na rua 4 com a rua A.","A família pretende que esse imóvel tenha a mesma distância de percurso até o local de trabalho da mãe, localizado na rua 6 com a rua E, o consultório do pai, na rua 2 com a rua E, e a escola das crianças, na rua 4 com a rua A. Com base nesses dados, o imóvel que atende as pretensões da família deverá ser localizado no encontro das ruas","3 e C","4 e C","4 e D","4 e E","5 e C","C","enem-data/enem-2016/165-images/context_img_0.png"
"matematica",2016,166,"Um senhor, pai de dois filhos, deseja comprar dois terrenos, com áreas de mesma medida, um para cada filho. Um dos terrenos visitados já está demarcado e, embora não tenha um formato convencional (como se observa na Figura B), agradou ao filho mais velho e, por isso, foi comprado. O filho mais novo possui um projeto arquitetônico de uma casa que quer construir, mas, para isso, precisa de um terreno na forma retangular (como mostrado na Figura A) cujo comprimento seja 7 m maior do que a largura.","Para satisfazer o filho mais novo, esse senhor precisa encontrar um terreno retangular cujas medidas, em metro, do comprimento e da largura sejam iguais, respectivamente, a","7,5 e 14,5.","9,0 e 16,0.","9,3 e 16,3.","10,0 e 17,0.","13,5 e 20,5.","B","enem-data/enem-2016/166-images/context_img_0.png"
"matematica",2016,167,"Preocupada com seus resultados, uma empresa fez um balanço dos lucros obtidos nos últimos sete meses, conforme dados do quadro. Avaliando os resultados, o conselho diretor da empresa decidiu comprar, nos dois meses subsequentes, a mesma quantidade de matéria-prima comprada no mês em que o lucro mais se aproximou da média dos lucros mensais dessa empresa nesse período de sete meses.","Nos próximos dois meses, essa empresa deverá comprar a mesma quantidade de matéria-prima comprada no mês","I","II","IV","V","VII","D","enem-data/enem-2016/167-images/context_img_0.png"
"matematica",2016,168,"Densidade absoluta (d) é a razão entre a massa de um corpo e o volume por ele ocupado. Um professor propôs à sua turma que os alunos analisassem a densidade de três corpos: dA, dB, dC. Os alunos verificaram que o corpo A possuía 1,5 vez a massa do corpo B e esse, por sua vez, tinha 3/4 da massa do corpo C. Observaram, ainda, que o volume do corpo A era o mesmo do corpo B e 20% maior do que o volume do corpo C.","Após a análise, os alunos ordenaram corretamente as densidades desses corpos da seguinte maneira","d B < dA < dC","d B = dA < dC","d C < dB = dA","d B < dC < dA","d C < dB < dA","A",""
"matematica",2016,169,"No tanque de um certo carro de passeio cabem até 50 L de combustível, e o rendimento médio deste carro na estrada é de 15 km/L de combustível. Ao sair para uma viagem de 600 km o motorista observou que o marcador de combustível estava exatamente sobre uma das marcas da escala divisória do medidor, conforme figura a seguir. Como o motorista conhece o percurso, sabe que existem, até a chegada a seu destino, cinco postos de abastecimento de combustível, localizados a 150 km, 187 km, 450 km, 500 km e 570 km do ponto de partida.","Qual a máxima distância, em quilômetro, que poderá percorrer até ser necessário reabastecer o veículo, de modo a não ficar sem combustível na estrada?","570","500","450","187","150","B","enem-data/enem-2016/169-images/context_img_0.png"
"matematica",2016,170,"Sob a orientação de um mestre de obras, João e Pedro trabalharam na reforma de um edifício. João efetuou reparos na parte hidráulica nos andares 1, 3, 5, 7, e assim sucessivamente, de dois em dois andares. Pedro trabalhou na parte elétrica nos andares 1, 4, 7, 10, e assim sucessivamente, de três em três andares. Coincidentemente, terminaram seus trabalhos no último andar. Na conclusão da reforma, o mestre de obras informou, em seu relatório, o número de andares do edifício. Sabe-se que, ao longo da execução da obra, em exatamente 20 andares, foram realizados reparos nas partes hidráulica e elétrica por João e Pedro.","Qual é o número de andares desse edifício?","40","60","100","115","120","D",""
"matematica",2016,171,"Em uma cidade será construída uma galeria subterrânea que receberá uma rede de canos para o transporte de água de uma fonte (F) até o reservatório de um novo bairro (B). Após avaliações, foram apresentados dois projetos para o trajeto de construção da galeria: um segmento de reta que atravessaria outros bairros ou uma semicircunferência que contornaria esses bairros, conforme ilustrado no sistema de coordenadas xOy da figura, em que a unidade de medida nos eixos é o quilômetro. Estudos de viabilidade técnica mostraram que, pelas características do solo, a construção de 1 m de galeria via segmento de reta demora 1,0 h, enquanto que 1 m de construção de galeria via semicircunferência demora 0,6 h. Há urgência em disponibilizar água para esse bairro. Use 3 como aproximação para π e 1,4 como aproximação para √2 .","O menor tempo possível, em hora, para conclusão da construção da galeria, para atender às necessidades de água do bairro, é de","1 260.","2 520.","2 800.","3 600.","4 000.","B","enem-data/enem-2016/171-images/context_img_0.png"
"matematica",2016,172,"A figura representa o globo terrestre e nela estão marcados os pontos A, B e C. Os pontos A e B estão localizados sobre um mesmo paralelo, e os pontos B e C, sobre um mesmo meridiano. É traçado um caminho do ponto A até C, pela superfície do globo, passando por B, de forma que o trecho de A até B se dê sobre o paralelo que passa por A e B e, o trecho de B até C se dê sobre o meridiano que passa por B e C. Considere que o plano a é paralelo à linha do equador na figura.","A projeção ortogonal, no plano α, do caminho traçado no globo pode ser representada por","enem-data/enem-2016/172-images/alt_img_0.png","enem-data/enem-2016/172-images/alt_img_1.png","enem-data/enem-2016/172-images/alt_img_2.png","enem-data/enem-2016/172-images/alt_img_3.png","enem-data/enem-2016/172-images/alt_img_4.png","E","enem-data/enem-2016/172-images/context_img_0.png"
"matematica",2016,173,"Diante da hipótese do comprometimento da qualidade da água retirada do volume morto de alguns sistemas hídricos, os técnicos de um laboratório decidiram testar cinco tipos de filtros de água. Dentre esses, os quatro com melhor desempenho serão escolhidos para futura comercialização. Nos testes, foram medidas as massas de agentes contaminantes, em miligrama, que não são capturados por cada filtro em diferentes períodos, em dia, como segue: • Filtro 1 (F1): 18 mg em 6 dias; • Filtro 2 (F2): 15 mg em 3 dias; • Filtro 3 (F3): 18 mg em 4 dias; • Filtro 4 (F4): 6 mg em 3 dias; • Filtro 5 (F5): 3 mg em 2 dias. Ao final, descarta-se o filtro com a maior razão entre a medida da massa de contaminantes não capturados e o número de dias, o que corresponde ao de pior desempenho. Disponível em: www.redebrasilatual.com.br. Acesso em: 12 jul. 2015 (adaptado).","O filtro descartado é o","F1","F2","F3","F4","F5","B",""
"matematica",2016,174,"Em 2011, um terremoto de magnitude 9,0 na escala Richter causou um devastador tsunami no Japão, provocando um alerta na usina nuclear de Fukushima. Em 2013, outro terremoto, de magnitude 7,0 na mesma escala, sacudiu Sichuan (sudoeste da China), deixando centenas de mortos e milhares de feridos. A magnitude de um terremoto na escala Richter pode ser calculada por M = 2 log ( E )3 E. sendo E a energia, em kWh, liberada pelo terremoto e E0 uma constante real positiva. Considere que E1 e E2 representam as energias liberadas nos terremotos ocorridos no Japão e na China, respectivamente.","Qual a relação entre E1 e E2?","E1 = E2 + 2","E1 = 10².E2","E1 = 10³.E2","E1 = 109/7.E2","E1 = 9/7.E2","C","enem-data/enem-2016/174-images/context_img_0.png"
"matematica",2016,175,"Em regiões agrícolas, é comum a presença de silos para armazenamento e secagem da produção de grãos, no formato de um cilindro reto, sobreposto por um cone, e dimensões indicadas na figura. O silo fica cheio e o transporte dos grãos é feito em caminhões de carga cuja capacidade é de 20 m³. Uma região possui um silo cheio e apenas um caminhão para transportar os grãos para a usina de beneficiamento. Utilize 3 como aproximação para pi.","O número mínimo de viagens que o caminhão precisará fazer para transportar todo o volume de grãos armazenados no silo é","6","16","17","18","21","D","enem-data/enem-2016/175-images/context_img_0.png"
