"ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
2014,"146","Uma lata de tinta, com a forma de um paralelepípedo retangular reto, tem as dimensões, em centímetros, mostradas na figura. Será produzida uma nova lata, com os mesmos formato e volume, de tal modo que as dimensões de sua base sejam 25% maiores que as da lata atual. ","Para obter a altura da nova lata, a altura da lata atual deve ser reduzida em ","14,4% ","20,0% ","32,0% ","36,0% ","64,0%","D","enem-data/enem-2014/146-images/context_img_0.png"
2014,"147","Uma organização não governamental divulgou um levantamento de dados realizado em algumas cidades brasileiras sobre saneamento básico. Os resultados indicam que somente 36% do esgoto gerado nessas cidades é tratado, o que mostra que 8 bilhões de litros de esgoto sem nenhum tratamento são lançados todos os dias nas águas. Uma campanha para melhorar o saneamento básico nessas cidades tem como meta a redução da quantidade de esgoto lançado nas águas diariamente, sem tratamento, para 4 bilhões de litros nos próximos meses.","Se o volume de esgoto gerado permanecer o mesmo e a meta dessa campanha se concretizar, o percentual de esgoto tratado passará a ser","72%","68%","64%","54%","18%","B","---"
2014,"148","Uma empresa de alimentos oferece três valores diferentes de remuneração a seus funcionários, de acordo com o grau de instrução necessário para cada cargo. No ano de 2013, a empresa teve uma receita de 10 milhões de reais por mês e um gasto mensal com a folha salarial de R$ 400 000,00, distribuídos de acordo com o Gráfico 1. No ano seguinte, a empresa ampliará o número de funcionários, mantendo o mesmo valor salarial para cada categoria. Os demais custos da empresa permanecerão constantes de 2013 para 2014. O número de funcionários em 2013 e 2014, por grau de instrução, está no Gráfico 2.","Qual deve ser o aumento na receita da empresa para que o lucro mensal em 2014 seja o mesmo de 2013?","R$ 114 285,00 ","R$ 130 000,00 ","R$ 160 000,00 ","R$ 210 000,00 ","R$ 213 333,00","B","enem-data/enem-2014/148-images/context_img_0.png"
2014,"149","Boliche é um jogo em que se arremessa uma bola sobre uma pista para atingir dez pinos, dispostos em uma formação de base triangular, buscando derrubar o maior número de pinos. A razão entre o total de vezes em que o jogador derruba todos os pinos e o número de jogadas determina seu desempenho. Em uma disputa entre cinco jogadores, foram obtidos os seguintes resultados: Jogador I – Derrubou todos os pinos 50 vezes em 85 jogadas. Jogador II – Derrubou todos os pinos 40 vezes em 65 jogadas. Jogador III – Derrubou todos os pinos 20 vezes em 65 jogadas. Jogador IV – Derrubou todos os pinos 30 vezes em 40 jogadas. Jogador V – Derrubou todos os pinos 48 vezes em 90 jogadas.","Qual desses jogadores apresentou maior desempenho?","I","II","III","IV","V","D","---"
2014,"150","Ao final de uma competição de ciências em uma escola, restaram apenas três candidatos. De acordo com as regras, o vencedor será o candidato que obtiver a maior média ponderada entre as notas das provas finais nas disciplinas química e física, considerando, respectivamente, os pesos 4 e 6 para elas. As notas são sempre números inteiros. Por questões médicas, o candidato II ainda não fez a prova final de química. No dia em que sua avaliação for aplicada, as notas dos outros dois candidatos, em ambas as disciplinas, já terão sido divulgadas.O quadro apresenta as notas obtidas pelos finalistas nas provas finais.","A menor nota que o candidato II deverá obter na prova final de química para vencer a competição é ","18.","19.","22.","25.","26.","A","enem-data/enem-2014/150-images/context_img_0.png"
2014,"151","Um cliente de uma videolocadora tem o hábito de alugar dois filmes por vez. Quando os devolve, sempre pega outros dois filmes e assim sucessivamente. Ele soube que a videolocadora recebeu alguns lançamentos, sendo 8 filmes de ação, 5 de comédia e 3 de drama e, por isso, estabeleceu uma estratégia para ver todos esses 16 lançamentos. Inicialmente alugará, em cada vez, um filme de ação e um de comédia. Quando se esgotarem as possibilidades de comédia, o cliente alugará um filme de ação e um de drama, até que todos os lançamentos sejam vistos e sem que nenhum filme seja repetido.","De quantas formas distintas a estratégia desse cliente poderá ser posta em prática?","20 × 8! + (3!)²","8! × 5! × 3!","(8! × 5! × 3!)/2^8","(8! × 5! × 3!)/2²","16!/2^8","B","---"
2014,"152","O psicólogo de uma empresa aplica um teste para analisar a aptidão de um candidato a determinado cargo. O teste consiste em uma série de perguntas cujas respostas devem ser verdadeiro ou falso e termina quando o psicólogo fizer a décima pergunta ou quando o candidato der a segunda resposta errada. Com base em testes anteriores, o psicólogo sabe que a probabilidade de o candidato errar uma resposta é 0,20.","A probabilidade de o teste terminar na quinta pergunta é","0,02048.","0,08192.","0,24000.","0,40960.","0,49152.","B","---"
2014,"153","A Companhia de Engenharia de Tráfego (CET) de São Paulo testou em 2013 novos radares que permitem o cálculo da velocidade média desenvolvida por um veículo em um trecho da via. As medições de velocidade deixariam de ocorrer de maneira instantânea, ao se passar pelo radar, e seriam feitas a partir da velocidade média no trecho, considerando o tempo gasto no percurso entre um radar e outro. Sabe-se que a velocidade média é calculada como sendo a razão entre a distância percorrida e o tempo gasto para percorrê-la. O teste realizado mostrou que o tempo que permite uma condução segura de deslocamento no percurso entre os dois radares deveria ser de, no mínimo, 1 minuto e 24 segundos. Com isso, a CET precisa instalar uma placa antes do primeiro radar informando a velocidade média máxima permitida nesse trecho da via. O valor a ser exibido na placa deve ser o maior possível, entre os que atendem às condições de condução segura observadas. Disponível em: www1.folha.uol.com.br. Acesso em: 11 jan. 2014 (adaptado).","A placa de sinalização que informa a velocidade que atende a essas condições é","enem-data/enem-2014/153-images/alt_img_0.png","enem-data/enem-2014/153-images/alt_img_1.png","enem-data/enem-2014/153-images/alt_img_2.png","enem-data/enem-2014/153-images/alt_img_3.png","enem-data/enem-2014/153-images/alt_img_4.png","C","enem-data/enem-2014/153-images/context_img_0.png"
2014,"154","O acesso entre os dois andares de uma casa é feito através de uma escada circular (escada caracol), representada na figura. Os cinco pontos A, B, C, D, E sobre o corrimão estão igualmente espaçados, e os pontos P, A e E estão em uma mesma reta. Nessa escada, uma pessoa caminha deslizando a mão sobre o corrimão do ponto A até o ponto D.","A figura que melhor representa a projeção ortogonal, sobre o piso da casa (plano), do caminho percorrido pela mão dessa pessoa é:","enem-data/enem-2014/154-images/alt_img_0.png","enem-data/enem-2014/154-images/alt_img_1.png","enem-data/enem-2014/154-images/alt_img_2.png","enem-data/enem-2014/154-images/alt_img_3.png","enem-data/enem-2014/154-images/alt_img_4.png","C","enem-data/enem-2014/154-images/context_img_0.png"
2014,"155","Um pesquisador está realizando várias séries de experimentos com alguns reagentes para verificar qual o mais adequado para a produção de um determinado produto. Cada série consiste em avaliar um dado reagente em cinco experimentos diferentes. O pesquisador está especialmente interessado naquele reagente que apresentar a maior quantidade dos resultados de seus experimentos acima da média encontrada para aquele reagente. Após a realização de cinco séries de experimentos, o pesquisador encontrou os seguintes resultados:","Levando-se em consideração os experimentos feitos, o reagente que atende às expectativas do pesquisador é o","1.","2.","3.","4.","5.","B","enem-data/enem-2014/155-images/context_img_0.png"
2014,"156","Em uma cidade, o valor total da conta de energia elétrica é obtido pelo produto entre o consumo (em kWh) e o valor da tarifa do kWh (com tributos), adicionado à Cosip (contribuição para custeio da iluminação pública), conforme a expressão: Valor do kWh (com tributos) x consumo (em kWh) + CosipO valor da Cosip é fixo em cada faixa de consumo.  O quadro mostra o valor cobrado para algumas faixas. Suponha que, em uma residência, todo mês o consumo seja de 150 kWh, e o valor do kWh (com tributos) seja de R$ 0,50. O morador dessa residência pretende diminuir seu consumo mensal de energia elétrica com o objetivo de reduzir o custo total da conta em pelo menos 10%.","Qual deve ser o consumo máximo, em kWh, dessa residência para produzir a redução pretendida pelo morador? ","134,1","135,0","137,1","138,6","143,1","C","enem-data/enem-2014/156-images/context_img_0.png"
2014,"157","No Brasil há várias operadoras e planos de telefonia celular. Uma pessoa recebeu 5 propostas (A, B, C, D e E) de planos telefônicos. O valor mensal de cada plano está em função do tempo mensal das chamadas, conforme o gráfico. Essa pessoa pretende gastar exatamente R$ 30,00 por mês com telefone.","Dos planos telefônicos apresentados, qual é o mais vantajoso, em tempo de chamada, para o gasto previsto para essa pessoa?","A","B","C","D","E","C","enem-data/enem-2014/157-images/context_img_0.png"
2014,"158","Uma empresa farmacêutica produz medicamentos em pílulas, cada uma na forma de um cilindro com uma semiesfera com o mesmo raio do cilindro em cada uma de suas extremidades. Essas pílulas são moldadas por uma máquina programada para que os cilindros tenham sempre 10 mm de comprimento, adequando o raio de acordo com o volume desejado. Um medicamento é produzido em pílulas com 5 mm de raio. Para facilitar a deglutição, deseja-se produzir esse medicamento diminuindo o raio para 4 mm, e, por consequência, seu volume. Isso exige a reprogramação da máquina que produz essas pílulas. Use 3 como valor aproximado para π.","A redução do volume da pílula, em milímetros cúbicos, após a reprogramação da máquina, será igual a","168.","304.","306.","378.","514.","E",""
2014,"159","O Brasil é um país com uma vantagem econômica clara no terreno dos recursos naturais, dispondo de uma das maiores áreas com vocação agrícola do mundo. Especialistas calculam que, dos 853 milhões de hectares do país, as cidades, as reservas indígenas e as áreas de preservação, incluindo florestas e mananciais, cubram por volta de 470 milhões de hectares. Aproximadamente 280 milhões se destinam à agropecuária, 200 milhões para pastagens e 80 milhões para a agricultura, somadas as lavouras anuais e as perenes, como o café e a fruticultura. FORTES, G. Recuperação de pastagens é alternativa para ampliar cultivos. Folha de S. Paulo, 30 out. 2011.","De acordo com os dados apresentados, o percentual correspondente à área utilizada para agricultura em relação à área do território brasileiro é mais próximo de ","32,8%","28,6%","10,7%","9,4%","8,0%","D",""
2014,"160","O condomínio de um edifício permite que cada proprietário de apartamento construa um armário em sua vaga de garagem. O projeto da garagem, na escala 1 : 100, foi disponibilizado aos interessados já com as especificações das dimensões do armário, que deveria ter o formato de um paralelepípedo retângulo reto, com dimensões, no projeto, iguais a 3 cm, 1 cm e 2 cm.","O volume real do armário, em centímetros cúbicos, será","6.","600.","6 000.","60 000.","6 000 000.","E","---"
2014,"161","Uma loja que vende sapatos recebeu diversas reclamações de seus clientes relacionadas à venda de sapatos de cor branca ou preta. Os donos da loja anotaram as numerações dos sapatos com defeito e fizeram um estudo estatístico com o intuito de reclamar com o fabricante. A tabela contém a média, a mediana e a moda desses dados anotados pelos donos. Para quantificar os sapatos pela cor, os donos representaram a cor branca pelo número 0 e a cor preta pelo número 1. Sabe-se que a média da distribuição desses zeros e uns é igual a 0,45. Os donos da loja decidiram que a numeração dos sapatos com maior número de reclamações e a cor com maior número de reclamações não serão mais vendidas.","A loja encaminhou um ofício ao fornecedor dos sapatos, explicando que não serão mais encomendados os sapatos de cor ","branca e os de número 38. ","branca e os de número 37. ","branca e os de número 36. ","preta e os de número 38. ","preta e os de número 37.","A","enem-data/enem-2014/161-images/context_img_0.png"
2014,"162","Para analisar o desempenho de um método diagnóstico, realizam-se estudos em populações contendo pacientes sadios e doentes. Quatro situações distintas podem acontecer nesse contexto de teste: 1) Paciente TEM a doença e o resultado do teste é POSITIVO. 2) Paciente TEM a doença e o resultado do teste é NEGATIVO. 3) Paciente NÃO TEM a doença e o resultado do teste é POSITIVO. 4) Paciente NÃO TEM a doença e o resultado do teste é NEGATIVO. Um índice de desempenho para avaliação de um teste diagnóstico é a sensibilidade, definida como a probabilidade de o resultado do teste ser POSITIVO se o paciente estiver com a doença. O quadro refere-se a um teste diagnóstico para a doença A, aplicado em uma amostra composta por duzentos indivíduos. BENSEÑOR, I. M.; LOTUFO, P. A. Epidemologia: abordagem prática.São Paulo: Sarvier, 2011 (adaptado).","Conforme o quadro do teste proposto, a sensibilidade dele é de ","47,5%.","85,0%.","86,3%.","94,4%.","95,0%.","E","enem-data/enem-2014/162-images/context_img_0.png"
2014,"163","Uma pessoa possui um espaço retangular de lados 11,5 m e 14 m no quintal de sua casa e pretende fazer um pomar doméstico de maçãs. Ao pesquisar sobre o plantio dessa fruta, descobriu que as mudas de maçã devem ser plantadas em covas com uma única muda e com espaçamento mínimo de 3 metros entre elas e entre elas e as laterais do terreno. Ela sabe que conseguirá plantar um número maior de mudas em seu pomar se dispuser as covas em filas alinhadas paralelamente ao lado de maior extensão.","O número máximo de mudas que essa pessoa poderá plantar no espaço disponível é","4.","8.","9.","12.","20.","C","---"
2014,"164","Um professor, depois de corrigir as provas de sua turma, percebeu que várias questões estavam muito difíceis. Para compensar, decidiu utilizar uma função polinomial f, de grau menor que 3, para alterar as notas x da prova para notas y = f(x), da seguinte maneira: • A nota zero permanece zero. • A nota 10 permanece 10. • A nota 5 passa a ser 6.","A expressão da função y = f(x) a ser utilizada pelo professor é","y=-(1/25)x²+(7/5)x","y=-(1/10)x²+2x","y=(1/24)x²+(7/12)x","y=(4/5)x+2","y=x","A","---"
2014,"165","Durante a Segunda Guerra Mundial, para decifrarem as mensagens secretas, foi utilizada a técnica de decomposição em fatores primos. Um número N é dado pela expressão 2^x ⋅ 5^y ⋅ 7^z, na qual x, y e z são números inteiros não negativos. Sabe-se que N é múltiplo de 10 enão é múltiplo de 7.","O número de divisores de N, diferentes de N, é","x ⋅ y ⋅ z","(x + 1) ⋅ (y + 1)","x ⋅ y ⋅ z − 1","(x + 1) ⋅ (y + 1) ⋅ z","(x + 1) ⋅ (y + 1) ⋅ (z + 1) − 1","E","---"
2014,"166","Uma criança deseja criar triângulos utilizando palitos de fósforo de mesmo comprimento. Cada triângulo será construído com exatamente 17 palitos e pelo menos um dos lados do triângulo deve ter o comprimento de exatamente 6 palitos. A figura ilustra um triângulo construído com essas características.","A quantidade máxima de triângulos não congruentes dois a dois que podem ser construídos é","3.","5.","6.","8.","10.","A","enem-data/enem-2014/166-images/context_img_0.png"
2014,"167","A figura mostra uma criança brincando em um balanço no parque. A corda que prende o assento do balanço ao topo do suporte mede 2 metros. A criança toma cuidado para não sofrer um acidente, então se balança de modo que a corda não chegue a alcançar a posição horizontal. Na figura, considere o plano cartesiano que contém a trajetória do assento do balanço, no qual a origem está localizada no topo do suporte do balanço, o eixo X é paralelo ao chão do parque, e o eixo Y tem orientação positiva para cima.","A curva determinada pela trajetória do assento do balanço é parte do gráfico da função","enem-data/enem-2014/167-images/alt_img_0.png","enem-data/enem-2014/167-images/alt_img_1.png","enem-data/enem-2014/167-images/alt_img_2.png","enem-data/enem-2014/167-images/alt_img_3.png","enem-data/enem-2014/167-images/alt_img_4.png","D","enem-data/enem-2014/167-images/context_img_0.png"
2014,"168","Um carpinteiro fabrica portas retangulares maciças, feitas de um mesmo material. Por ter recebido de seus clientes pedidos de portas mais altas, aumentou sua altura em 1/8, preservando suas espessuras. A fim de manter o custo com o material de cada porta, precisou reduzir a largura.","A razão entre a largura da nova porta e a largura da porta anterior é","1/8","7/8","8/7","8/9","9/8","D","---"
2014,"169","De acordo com a ONU, da água utilizada diariamente, • 25% são para tomar banho, lavar as mãos e escovar os dentes.• 33% são utilizados em descarga de banheiro.• 27% são para cozinhar e beber.• 15% são para demais atividades.No Brasil, o consumo de água por pessoa chega, em média, a 200 litros por dia.O quadro mostra sugestões de consumo moderado de água por pessoa, por dia, em algumas atividades.","Se cada brasileiro adotar o consumo de água indicado no quadro, mantendo o mesmo consumo nas demais atividades, então economizará diariamente, em média, em litros de água,","30,0.","69,6.","100,4.","130,4.","170,0.","C","enem-data/enem-2014/169-images/context_img_0.png"
2014,"170","Os candidatos K, L, M, N e P estão disputando uma única vaga de emprego em uma empresa e fizeram provas de português, matemática, direito e informática. A tabela apresenta as notas obtidas pelos cinco candidatos.","Segundo o edital de seleção, o candidato aprovado será aquele para o qual a mediana das notas obtidas por ele nas quatro disciplinas for a maior. O candidato aprovado será ","K. ","L.","M.","N.","P.","D","enem-data/enem-2014/170-images/context_img_0.png"
2014,"171","Na alimentação de gado de corte, o processo de cortar a forragem, colocá-la no solo, compactá-la e protegê-la com uma vedação denomina-se silagem. Os silos mais comuns são os horizontais, cuja forma é a de um prisma reto trapezoidal, conforme mostrado na figura.Considere um silo de 2 m de altura, 6 m de largura de topo e 20 m de comprimento. Para cada metro de altura do silo, a largura do topo tem 0,5 m a mais do que a largura do fundo. Após a silagem, 1 tonelada de forragem ocupa 2 m3 desse tipo de silo.EMBRAPA. Gado de corte. Disponível em: www.cnpgc.embrapa.br. Acesso em: 1 ago. 2012 (adaptado).","Após a silagem, a quantidade máxima de forragem que cabe no silo, em toneladas, é","110.","125.","130.","220.","260.","A","enem-data/enem-2014/171-images/context_img_0.png"
2014,"172","Um cientista trabalha com as espécies I e II de bactérias em um ambiente de cultura. Inicialmente, existem 350 bactérias da espécie I e 1 250 bactérias da espécie II. O gráfico representa as quantidades de bactérias de cada espécie, em função do dia, durante uma semana.","Em que dia dessa semana a quantidade total de bactérias nesse ambiente de cultura foi máxima? ","Terça-feira. ","Quarta-feira. ","Quinta-feira. ","Sexta-feira. ","Domingo.","A","enem-data/enem-2014/172-images/context_img_0.png"
2014,"173","Um fazendeiro tem um depósito para armazenar leite formado por duas partes cúbicas que se comunicam, como indicado na figura. A aresta da parte cúbica debaixo tem medida igual ao dobro da medida da aresta da parte cúbica de cima. A torneira utilizada para encher o depósito tem vazão constante e levou 8 minutos para encher metade da parte de baixo.","Quantos minutos essa torneira levará para encher completamente o restante do depósito?","8","10","16","18","24","B","enem-data/enem-2014/173-images/context_img_0.png"
2014,"174","Diariamente, uma residência consome 20 160 Wh. Essa residência possui 100 células solares retangulares (dispositivos capazes de converter a luz solar em energia elétrica) de dimensões 6 cm × 8 cm. Cada uma das tais células produz, ao longo do dia, 24 Wh por centímetro de diagonal. O proprietário dessa residência quer produzir, por dia, exatamente a mesma quantidade de energia que sua casa consome.","Qual deve ser a ação desse proprietário para que ele atinja o seu objetivo?","Retirar 16 células.","Retirar 40 células.","Acrescentar 5 células.","Acrescentar 20 células.","Acrescentar 40 células.","A","---"
2014,"175","Uma pessoa compra semanalmente, numa mesma loja, sempre a mesma quantidade de um produto que custa R$ 10,00 a unidade. Como já sabe quanto deve gastar, leva sempre R$ 6,00 a mais do que a quantia necessária para comprar tal quantidade, para o caso de eventuais despesas extras. Entretanto, um dia, ao chegar à loja, foi informada de que o preço daquele produto havia aumentado 20%. Devido a esse reajuste, concluiu que o dinheiro levado era a quantia exata para comprar duas unidades a menos em relação à quantidade habitualmente comprada.","A quantia que essa pessoa levava semanalmente para fazer a compra era","R$ 166,00.","R$ 156,00.","R$ 84,00.","R$ 46,00.","R$ 24,00.","B","---"
2014,"176","Um executivo sempre viaja entre as cidades A e B, que estão localizadas em fusos horários distintos. O tempo de duração da viagem de avião entre as duas cidades é de 6 horas. Ele sempre pega um voo que sai de A às 15 h e chega à cidade B às 18 h (respectivos horários locais). Certo dia, ao chegar à cidade B, soube que precisava estar de volta à cidade A, no máximo, até as 13 h do dia seguinte (horário local de A).","Para que o executivo chegue à cidade A no horário correto e admitindo que não haja atrasos, ele deve pegar um voo saindo da cidade B, em horário local de B, no máximo à(s)","16 h.","10 h.","7 h.","4 h.","1 h.","D","---"
2014,"177","Os incas desenvolveram uma maneira de registrar quantidades e representar números utilizando um sistema de numeração decimal posicional: um conjunto de cordas com nós denominado quipus. O quipus era feito de uma corda matriz, ou principal (mais grossa que as demais), na qual eram penduradas outras cordas, mais finas, de diferentes tamanhos e cores (cordas pendentes). De acordo com a sua posição, os nós significavam unidades, dezenas, centenas e milhares. Na Figura 1, o quipus representa o número decimal 2 453. Para representar o “zero” em qualquer posição, não se coloca nenhum nó. Disponível em: www.culturaperuana.com.br. Acesse em: 13 dez. 2012.","O número da representação do quipus da Figura 2, em base decimal, é ","364.","463.","3 064.","3 640.","4 603.","C","enem-data/enem-2014/177-images/context_img_0.png"
2014,"178","A maior piscina do mundo, registrada no livro Guiness, está localizada no Chile, em San Alfonso del Mar, cobrindo um terreno de 8 hectares de área. Sabe-se que 1 hectare corresponde a 1 hectômetro quadrado.","Qual é o valor, em metros quadrados, da área coberta pelo terreno da piscina?","8","80","800","8 000","80 000","E","---"
2014,"179","Durante uma epidemia de uma gripe viral, o secretário de saúde de um município comprou 16 galões de álcool em gel, com 4 litros de capacidade cada um, para distribuir igualmente em recipientes para 10 escolas públicas do município. O fornecedor dispõe à venda diversos tipos de recipientes, com suas respectivas capacidades listadas:• Recipiente I: 0,125 litro• Recipiente II: 0,250 litro• Recipiente III: 0,320 litro• Recipiente IV: 0,500 litro• Recipiente V: 0,800 litro O secretário de saúde comprará recipientes de um mesmo tipo, de modo a instalar 20 deles em cada escola, abastecidos com álcool em gel na sua capacidade máxima, de forma a utilizar todo o gel dos galões de uma só vez.","Que tipo de recipiente o secretário de saúde deve comprar?","I","II","III","IV","V","C",""
2014,"180","Os vidros para veículos produzidos por certo fabricante têm transparências entre 70% e 90%, dependendo do lote fabricado. Isso significa que, quando um feixe luminoso incide no vidro, uma parte entre 70% e 90% da luz consegue atravessá-lo. Os veículos equipados com vidros desse fabricante terão instaladas, nos vidros das portas, películas protetoras cuja transparência, dependendo do lote fabricado, estará entre 50% e 70%. Considere que uma porcentagem P da intensidade da luz, proveniente de uma fonte externa, atravessa o vidro e a película.","De acordo com as informações, o intervalo das porcentagens que representam a variação total possível de P é","[35 ; 63].","[40 ; 63].","[50 ; 70].","[50 ; 90].","[70 ; 90].","A","---"
