"X","number","context","question","A","B","C","D","E","answer","context.images"
4,146,"O contribuinte que vende mais de R$ 20 mil de ações em Bolsa de Valores em um mês deverá pagar Imposto de Renda. O pagamento para a Receita Federal consistirá em 15% do lucro obtido com a venda das ações.Disponível em: www1.folha.uol.com.br. Acesso em: 26 abr. 2010 (adaptado).","Um contribuinte que vende por R$ 34 mil um lote de ações que custou R$ 26 mil terá de pagar de Imposto de Renda à Receita Federal o valor de:","R$ 900,00.","R$ 1 200,00.","R$ 2 100,00.","R$ 3 900,00.","R$ 5 100,00.","B",""
5,147,"Para se construir um contrapiso, é comum, na constituição do concreto, se utilizar cimento, areia e brita, na seguinte proporção: 1 parte de cimento, 4 partes de areia e 2 partes de brita. Para construir o contrapiso de uma garagem, uma construtora encomendou um caminhão betoneira com 14 m³ de concreto.","Qual é o volume de cimento, em m³, na carga de concreto trazido pela betoneira?","1,75","2,00","2,33","4,00","8,00","B",""
11,148,"Cinco empresas de gêneros alimentícios encontram-se à venda. Um empresário, almejando ampliar os seus investimentos, deseja comprar uma dessas empresas. Para escolher qual delas irá comprar, analisa o lucro (em milhões de reais) de cada uma delas, em função de seus tempos (em anos) de existência, decidindo comprar a empresa que apresente o maior lucro médio anual.O quadro apresenta o lucro (em milhões de reais) acumulado ao longo do tempo (em anos) de existência de cada empresa.","O empresário decidiu comprar a empresa","F","G","H","M","P","B","enem-data/enem-2013/148-images/context_img_0.png"
12,149,"Deseja-se postar cartas não comerciais, sendo duas de 100 g, três de 200 g e uma de 350 g. O gráfico mostra o custo para enviar uma carta não comercial pelos Correios: Disponível em: www.correios.com.br. Acesso em: 2 ago. 2012 (adaptado).","O valor total gasto, em reais, para postar essas cartas é de","8,35","12,50","14,40","15,35","18,05","D","enem-data/enem-2013/149-images/context_img_0.png"
10,150,"Foi realizado um levantamento nos 200 hotéis de uma cidade, no qual foram anotados os valores, em reais, das diárias para um quarto padrão de casal e a quantidade de hotéis para cada valor da diária. Os valores das diárias foram: A = R$ 200,00; B = R$ 300,00; C = R$ 400,00 e D = R$ 600,00. No gráfico, as áreas representam as quantidades de hotéis pesquisados, em porcentagem, para cada valor da diária.","O valor mediano da diária, em reais, para o quarto padrão de casal nessa cidade, é","300,00.","345,00.","350,00.","375,00.","400,00.","C","enem-data/enem-2013/150-images/context_img_0.png"
2,151,"Para aumentar as vendas no início do ano, uma loja de departamentos remarcou os preços de seus produtos 20% abaixo do preço original. Quando chegam ao caixa, os clientes que possuem o cartão fidelidade da loja têm direito a um desconto adicional de 10% sobre o valor total de suas compras. Um cliente deseja comprar um produto que custava R$ 50,00 antes da remarcação de preços. Ele não possui o cartão fidelidade da loja.","Caso esse cliente possuísse o cartão fidelidade da loja, a economia adicional que obteria ao efetuar a compra, em reais, seria de","15,00","14,00","10,00","5,00","4,00","E",""
9,152,"Para o reflorestamento de uma área, deve-se cercar totalmente, com tela, os lados de um terreno, exceto o lado margeado pelo rio, conforme a figura. Cada rolo de tela que será comprado para confecção da cerca contém 48 metros de comprimento.","A quantidade mínima de rolos que deve ser comprada para cercar esse terreno é","6","7","8","11","12","C","enem-data/enem-2013/152-images/context_img_0.png"
0,153,"Um dos grandes problemas enfrentados nas rodovias brasileiras é o excesso de carga transportada pelos caminhões. Dimensionado para o tráfego dentro dos limites legais de carga, o piso das estradas se deteriora com o peso excessivo dos caminhões. Além disso, o excesso de carga interfere na capacidade de frenagem e no funcionamento da suspensão do veículo, causas frequentes de acidentes.Ciente dessa responsabilidade e com base na experiência adquirida com pesagens, um caminhoneiro sabe que seu caminhão pode carregar, no máximo, 1 500 telhas ou 1 200 tijolos.","Considerando esse caminhão carregado com 900 telhas, quantos tijolos, no máximo, podem ser acrescentados à carga de modo a não ultrapassar a carga máxima do caminhão?","300 tijolos","360 tijolos","400 tijolos","480 tijolos","600 tijolos","D",""
16,154,"As projeções para a produção de arroz no período de 2012 - 2021, em uma determinada região produtora, apontam para uma perspectiva de crescimento constante da produção anual. O quadro apresenta a quantidade de arroz, em toneladas, que será produzida nos primeiros anos desse período, de acordo com essa projeção.","A quantidade total de arroz, em toneladas, que deverá ser produzida no período de 2012 a 2021 será de","497,25.","500,85.","502,87.","558,75.","563,25.","D","enem-data/enem-2013/154-images/context_img_0.png"
13,155,"Numa escola com 1 200 alunos foi realizada uma pesquisa sobre o conhecimento desses em duas línguas estrangeiras, inglês e espanhol. Nessa pesquisa constatou-se que 600 alunos falam inglês, 500 falam espanhol e 300 não falam qualquer um desses idiomas.","Escolhendo-se um aluno dessa escola ao acaso e sabendo-se que ele não fala inglês, qual a probabilidade de que esse aluno fale espanhol?","1/2","5/8","1/4","5/6","5/14","A",""
14,156,"As torres Puerta de Europa são duas torres inclinadas uma contra a outra, construídas numa avenida de Madri, na Espanha. A inclinação das torres é de 15° com a vertical e elas têm, cada uma, uma altura de 114 m (a altura é indicada na figura como o segmento AB). Estas torres são um bom exemplo de um prisma oblíquo de base quadrada e uma delas pode ser observada na imagem. Disponível em: www.flickr.com. Acesso em: 27 mar. 2012","Utilizando 0,26 como valor aproximado para a tangente de 15° e duas casas decimais nas operações, descobre-se que a área da base desse prédio ocupa na avenida um espaço ","menor que 100 m² ","entre 100 m² e 300 m² ","entre 300 m² e 500 m² ","entre 500 m² e 700 m² ","maior que 700 m²","E","enem-data/enem-2013/156-images/context_img_0.png"
18,157,"As notas de um professor que participou de um processo seletivo, em que a banca avaliadora era composta por cinco membros, são apresentadas no gráfico. Sabe-se que cada membro da banca atribuiu duas notas ao professor, uma relativa aos conhecimentos específicos da área de atuação e outra, aos conhecimentos pedagógicos, e que a média final do professor foi dada pela média aritmética de todas as notas atribuídas pela banca avaliadora.","Utilizando um novo critério, essa banca avaliadora resolveu descartar a maior e a menor notas atribuídas ao professor. A nova média, em relação à média anterior, é ","0,25 ponto maior. ","1,00 ponto maior. ","1,00 ponto menor. ","1,25 ponto maior. ","2,00 pontos menor.","B","enem-data/enem-2013/157-images/context_img_0.png"
41,158,"Um banco solicitou aos seus clientes a criação de uma senha pessoal de seis dígitos, formada somente por algarismos de 0 a 9, para acesso à conta corrente pela internet. Entretanto, um especialista em sistemas de segurança eletrônica recomendou à direção do banco recadastrar seus usuários, solicitando, para cada um deles, a criação de uma nova senha com seis dígitos, permitindo agora o uso das 26 letras do alfabeto, além dos algarismos de 0 a 9. Nesse novo sistema, cada letra maiúscula era considerada distinta de sua versão minúscula. Além disso, era proibido o uso de outros tipos de caracteres.Uma forma de avaliar uma alteração no sistema de senhas é a verificação do coeficiente de melhora, que é a razão do novo número de possibilidades de senhas em relação ao antigo.","O coeficiente de melhora da alteração recomendada é","62^6/10^6","62!/10!","(62!4!)/(10!56!)","62!-10!","62^6-10^6","A","---"
42,159,"Uma torneira não foi fechada corretamente e ficou pingando, da meia-noite às seis horas da manhã, com a frequência de uma gota a cada três segundos. Sabe-se que cada gota d’agua tem volume de 0,2 mL.","Qual foi o valor mais aproximado do total de água desperdiçada nesse período, em litros?","0,2","1,2","1,4","12,9","64,8","C","---"
38,160,"Um programa de edição de imagens possibilita transformar figuras em outras mais complexas. Deseja-se construir uma nova figura a partir da original. A nova figura deve apresentar simetria em relação ao ponto O.","A imagem que representa a nova figura é:","enem-data/enem-2013/160-images/alt_img_0.png","enem-data/enem-2013/160-images/alt_img_1.png","enem-data/enem-2013/160-images/alt_img_2.png","enem-data/enem-2013/160-images/alt_img_3.png","enem-data/enem-2013/160-images/alt_img_4.png","E","enem-data/enem-2013/160-images/context_img_0.png"
27,161,"Um artesão de joias tem à sua disposição pedras brasileiras de três cores: vermelhas, azuis e verdes. Ele pretende produzir joias constituídas por uma liga metálica, a partir de um molde no formato de um losango não quadrado com pedras nos seus vértices, de modo que dois vértices consecutivos tenham sempre pedras de cores diferentes. A figura ilustra uma joia, produzida por esse artesão, cujos vértices A, B, C e D correspondem às posições ocupadas pelas pedras. ","Com base nas informações fornecidas, quantas joias diferentes, nesse formato, o artesão poderá obter?","6","12","18","24","36","B","enem-data/enem-2013/161-images/context_img_0.png"
15,162,"Em setembro de 1987, Goiânia foi palco do maior acidente radioativo ocorrido no Brasil, quando uma amostra de césio-137, removida de um aparelho de radioterapia abandonado, foi manipulada inadvertidamente por parte da população. A meia-vida de um material radioativo é o tempo necessário para que a massa desse material se reduza à metade. A meia-vida do césio-137 é 30 anos e a quantidade restante de massa de um material radioativo, após t anos, é calculada pela expressão M(t) = A · (2,7)^(kt),onde A é a massa inicial e k é uma constante negativa. Considere 0,3 como aproximação para log10 2.","Qual o tempo necessário, em anos, para que uma quantidade de massa do césio-137 se reduza a 10% da quantidade inicial?","27","36","50","54","100","E",""
17,163,"Nos Estados Unidos a unidade de medida de volume mais utilizada em latas de refrigerante é a onça fluida (fl oz), que equivale a aproximadamente 2,95 centilitros (cL). Sabe-se que o centilitro é a centésima parte do litro e que a lata de refrigerante usualmente comercializada no Brasil tem capacidade de 355 mL.","Assim, a medida do volume da lata de refrigerante de 355 mL, em onça fluida (fl oz), é mais próxima de","0,83","1,20","12,03","104,73","120,34","C",""
43,164,"Na aferição de um novo semáforo, os tempos são ajustados de modo que, em cada ciclo completo (verdeamarelo-vermelho), a luz amarela permaneça acesa por 5 segundos, e o tempo em que a luz verde permaneça acesa seja igual a 23 do tempo em que a luz vermelha fique acesa. A luz verde fica acesa, em cada ciclo, durante X segundos e cada ciclo dura Y segundos.","Qual é a expressão que representa a relação entre X e Y?","5X − 3Y + 15 = 0","5X − 2Y + 10 = 0","3X − 3Y + 15 = 0","3X − 2Y + 15 = 0","3X − 2Y + 10 = 0","B","---"
24,165,"A temperatura T de um forno (em graus centígrados) é reduzida por um sistema a partir do instante de seu desligamento (t = 0) e varia de acordo com a expressão T(t)=-t²/4 + 400, com t em minutos. Por motivos de segurança, a trava do forno só é liberada para abertura quando o forno atinge a temperatura de 39 ºC.  ","Qual o tempo mínimo de espera, em minutos, após se desligar o forno, para que a porta possa ser aberta?","19,0","19,8","20,0","38,0","39,0","D","enem-data/enem-2013/165-images/context_img_0.png"
19,166,"O ciclo de atividade magnética do Sol tem um período de 11 anos. O início do primeiro ciclo registrado se deu no começo de 1755 e se estendeu até o final de 1765. Desde então, todos os ciclos de atividade magnética do Sol têm sido registrados. Disponível em: http://g1.globo.com. Acesso em: 27 fev. 2013.","No ano de 2101, o Sol estará no ciclo de atividade magnética de número","32","34","33","35","31","A",""
21,167,"A figura apresenta dois mapas, em que o estado do Rio de Janeiro é visto em diferentes escalas. Há interesse em estimar o número de vezes que foi ampliada a área correspondente a esse estado no mapa do Brasil.  ","Esse número é","menor que 10.","maior que 10 e menor que 20.","maior que 20 e menor que 30.","maior que 30 e menor que 40.","maior que 40.","D","enem-data/enem-2013/167-images/context_img_0.png"
23,168,"Nos últimos anos, a televisão tem passado por uma verdadeira revolução, em termos de qualidade de imagem, som e interatividade com o telespectador. Essa transformação se deve à conversão do sinal analógico para o sinal digital. Entretanto, muitas cidades ainda não contam com essa nova tecnologia. Buscando levar esses benefícios a três cidades, uma emissora de televisão pretende construir uma nova torre de transmissão, que envie sinal às antenas A, B e C, já existentes nessas cidades. As localizações das antenas estão representadas no plano cartesiano:A torre deve estar situada em um local equidistante das três antenas.","O local adequado para a construção dessa torre corresponde ao ponto de coordenadas","(65 ; 35).","(53 ; 30).","(45 ; 35).","(50 ; 20).","(50 ; 30).","E","enem-data/enem-2013/168-images/context_img_0.png"
22,169,"Uma cozinheira, especialista em fazer bolos, utiliza uma forma no formato representado na figura: Nela identifica-se a representação de duas figuras geométricas tridimensionais.","Essas figuras são","um tronco de cone e um cilindro.","um cone e um cilindro.","um tronco de pirâmide e um cilindro.","dois troncos de cone.","dois cilindros.","D","enem-data/enem-2013/169-images/context_img_0.png"
26,170,"O cruzamento da quantidade de horas estudadas com o desempenho no Programa Internacional de Avaliação de Estudantes (Pisa) mostra que mais tempo na escola não é garantia de nota acima da média. Nova Escola, São Paulo, dez. 2010 (adaptado).","Dos países com notas abaixo da média nesse exame, aquele que apresenta maior quantidade de horas de estudo é","Finlândia.","Holanda.","Israel.","México.","Rússia.","C","enem-data/enem-2013/170-images/context_img_0.png"
30,171,"Um restaurante utiliza, para servir bebidas, bandejas com bases quadradas. Todos os copos desse restaurante têm o formato representado na figura: ","Considere que AC = 7/5 BD e que l é a medida de um dos lados da base da bandeja.Qual deve ser o menor valor da razão l/BD para que uma bandeja tenha capacidade de portar exatamente quatro copos de uma só vez?","2","14/5","4","24/5","28/5","D","enem-data/enem-2013/171-images/context_img_0.png"
29,172,"O dono de um sítio pretende colocar uma haste de sustentação para melhor firmar dois postes de comprimentos iguais a 6 m e 4 m. A figura representa a situação real na qual os postes são descritos pelos segmentos AC e BD e a haste é representada pelo segmento EF, todos perpendiculares ao solo, que é indicado pelo segmento de reta AB. Os segmentos AD e BC representam cabos de aço que serão instalados.","Qual deve ser o valor do comprimento da haste EF?","1 m","2 m","2,4 m","3 m","2√6 m","C","enem-data/enem-2013/172-images/context_img_0.png"
44,173,"Gangorra é um brinquedo que consiste de uma tábua longa e estreita equilibrada e fixada no seu ponto central (pivô). Nesse brinquedo, duas pessoas sentam-se nas extremidades e, alternadamente, impulsionam-se para cima, fazendo descer a extremidade oposta, realizando, assim, o movimento da gangorra.Considere a gangorra representada na figura, em que os pontos A e B são equidistantes do pivô:","A projeção ortogonal da trajetória dos pontos A e B, sobre o plano do chão da gangorra, quando esta se encontra em movimento, é:","imagemA","imagemB","imagemC","imagemD","imagemE","B","---"
25,174,"A cerâmica constitui-se em um artefato bastante presente na história da humanidade. Uma de suas várias propriedades é a retração (contração), que consiste na evaporação da água existente em um conjunto ou bloco cerâmico quando submetido a uma determinada temperatura elevada. Essa elevação de temperatura, que ocorre durante o processo de cozimento, causa uma redução de até 20% nas dimensões lineares de uma peça. Disponível em: www.arq.ufsc.br. Acesso em: 3 mar. 2012.Suponha que uma peça, quando moldada em argila, possuía uma base retangular cujos lados mediam 30 cm e 15 cm. Após o cozimento, esses lados foram reduzidos em 20%.","Em relação à área original, a área da base dessa peça, após o cozimento, ficou reduzida em","4%","20%","36%","64%","96%","C",""
31,175,"Uma fábrica de parafusos possui duas máquinas, I e II, para a produção de certo tipo de parafuso. Em setembro, a máquina I produziu 54/100 do total de parafusos produzidos pela fábrica. Dos parafusos produzidos por essa máquina, 25/1 000 eram defeituosos. Por sua vez, 38/1 000 dos parafusos produzidos no mesmo mês pela máquina II eram defeituosos.O desempenho conjunto das duas máquinas é classificado conforme o quadro, em que P indica a probabilidade de um parafuso escolhido ao acaso ser defeituoso.","O desempenho conjunto dessas máquinas, em setembro, pode ser classificado como","excelente.","bom.","regular.","ruim.","péssimo.","B","enem-data/enem-2013/175-images/context_img_0.png"
32,176,"Considere o seguinte jogo de apostas: Numa cartela com 60 números disponíveis, um apostador escolhe de 6 a 10 números. Dentre os números disponíveis, serão sorteados apenas 6. O apostador será premiado caso os 6 números sorteados estejam entre os números escolhidos por ele numa mesma cartela. O quadro apresenta o preço de cada cartela, de acordo com a quantidade de números escolhidos. Cinco apostadores, cada um com R$ 500,00 para apostar, fizeram as seguintes opções: Arthur: 250 cartelas com 6 números escolhidos; Bruno: 41 cartelas com 7 números escolhidos e 4 cartelas com 6 números escolhidos; Caio: 12 cartelas com 8 números escolhidos e 10 cartelas com 6 números escolhidos; Douglas: 4 cartelas com 9 números escolhidos; Eduardo: 2 cartelas com 10 números escolhidos.","Os dois apostadores com maiores probabilidades de serem premiados são","Caio e Eduardo.","Arthur e Eduardo.","Bruno e Caio.","Arthur e Bruno.","Douglas e Eduardo.","A","enem-data/enem-2013/176-images/context_img_0.png"
34,177,"Um comerciante visita um centro de vendas para fazer cotação de preços dos produtos que deseja comprar. Verifica que se aproveita 100% da quantidade adquirida de produtos do tipo A, mas apenas 90% de produtos do tipo B. Esse comerciante deseja comprar uma quantidade de produtos, obtendo o menor custo/benefício em cada um deles. O quadro mostra o preço por quilograma, em reais, de cada produto comercializado.","Os tipos de arroz, feijão, soja e milho que devem ser escolhidos pelo comerciante são, respectivamente,","A, A, A, A. ","A, B, A, B. ","A, B, B, A. ","B, A, A, B. ","B, B, B, B.","D","enem-data/enem-2013/177-images/context_img_0.png"
33,178,"Em um sistema de dutos, três canos iguais, de raio externo 30 cm, são soldados entre si e colocados dentro de um cano de raio maior, de medida R. Para posteriormente ter fácil manutenção, é necessário haver uma distância de 10 cm entre os canos soldados e o cano de raio maior. Essa distância é garantida por um espaçador de metal, conforme a figura:","Utilize 1,7 como aproximação para √3O valor de R, em centímetros, é igual a","64,0","65,5","74,0","81,0","91,0","C","enem-data/enem-2013/178-images/context_img_0.png"
35,179,"O índice de eficiência utilizado por um produtor de leite para qualificar suas vacas é dado pelo produto do tempo de lactação (em dias) pela produção média diária de leite (em kg), dividido pelo intervalo entre partos (em meses). Para esse produtor, a vaca é qualificada como eficiente quando esse índice é, no mínimo, 281 quilogramas por mês, mantendo sempre as mesmas condições de manejo (alimentação, vacinação e outros). Na comparação de duas ou mais vacas, a mais eficiente é a que tem maior índice. A tabela apresenta os dados coletados de cinco vacas:","Após a análise dos dados, o produtor avaliou que a vaca mais eficiente é a","Malhada","Mamona","Maravilha","Mateira","Mimosa","D","enem-data/enem-2013/179-images/context_img_0.png"
36,180,"A Secretaria de Saúde de um município avalia um programa que disponibiliza, para cada aluno de uma escola municipal, uma bicicleta, que deve ser usada no trajeto de ida e volta, entre sua casa e a escola. Na fase de implantação do programa, o aluno que morava mais distante da escola realizou sempre o mesmo trajeto, representado na figura, na escala 1 : 25 000, por um período de cinco dias.","Quantos quilômetros esse aluno percorreu na fase de implantação do programa?","4","8","16","20","40","E","enem-data/enem-2013/180-images/context_img_0.png"
